No;Code;Jenis ken;NoPolisi;Thn Kendaraan;Warna;NoMesin;NoRangka;KD
41;MF;HINO DUTRO 130 HD;BM9315JO;2022;Hijau;N04CWYJ18621;MJECCB2F8N5008265;K
42;MF;TOYOTA-KIJANG-INNOVA VENTURER 2.0 AT;KT45IE;2017;Putih;1TRA278440;MHFAW8EM3H0205986;B
43;MF;ISUZU ELF NMR 71T HD 6.1;DD8339YC;2018;Putih;B089125;MHCNMR71HJJ089125;K
44;MF;HONDA-HR-V-HONDA HR-VRU1 1.5 E;BK1662TB;2021;Abu Abu Baja Metalik;L15Z61311812;MHRRU1860MJ107653;H
45;MF;TOYOTA KIJANG ALL NEW KIJANG INNOVA 2.4 G A/T DIESEL;N1846ABV;2018;Silver Metalik;2GDC298903;MHFJB8EM1J1028074;K
46;MF;ISUZU TRUCK 1 - 5 TON DTRNMR 71T HD 6.1;DD8641HE;2018;Putih;B088223;MHCNMR71HJJ088223;K
47;MF;TOYOTA KIJANG ALL NEW KIJANG INNOVA 2.4 G M/T DIESEL;H8827WP;2018;Putih;2GD4454556;MHFJB8EM0J1035372;K
48;MF;ISUZU-NMR 71-NMR71T HD 5.8;DD8796RQ;2017;Putih;B080867;MHCNMR71LHJ080867;H
49;MF;MITSUBISHI-COLT-FE 74 S (4X2) M/T;BM8871TJ;2013;Kuning;4D34TJ25783;MHMFE74P4DK065533;B
50;MF;BMW-X3-XDRIVE20I BENSIN 2.0 AT;DD1207RI;2015;Hitam Metalik;A7021015;MHHWX3600FK934988;H
51;MF;MERCEDES BUSOH1521/60;W7024UT;2003;Putih;38698160552499;MHL68426230010349;K
52;MF;HINO DUTRO WU342R-HKMTJD3;BH8689ZL;2019;Hijau;W04DTRR66507;MJEC1JG43K5176801;K
53;MF;HINO TRUCK 1 - 5 TON LTRWU342R-HKMTJD3/130HD;DD8064YQ;2018;Hijau;W04DTRR59966;MJEC1JG43J5170043;K
54;MF;HONDA-HR-V-1.5 E A/T;E1425QC;2018;Putih Orchid Mutiara;L15Z61209448;MHRRU1860JJ803684;H
55;MF;HONDA-HR-V-HRV 1.8 RS CVT CKD;B2133JUS;2018;Putih Orchid Mutiara;R18ZE1200307;MHRRU5870JJ800404;B
56;MF;MITSUBISHI COLT FE 74 HDV (4X2 M/T);BA8143QO;2018;Kuning;4D34TSX5478;MHMFE74P5JK199399;K
57;MF;MITSUBISHI-TRITON-TRITON HDX DOUBLE CABIN M/T;DA8494CQ;2018;Putih Solid;4D56UAU3356;MMBJNKL30JH053908;H
58;MF;TOYOTA-KIJANG-ALL NEW KIJANG INNOVA 2.4 G M/T DIESEL;N1812TQ;2016;Putih;2GD4191880;MHFJB8EM0G1009718;H
59;MF;ISUZU MICROBUSNHR 55/77 PS MICROBUS;DK9212JE;2009;Abu Abu Metalik;M028544;MHCNH55EY9J028544;K
60;MF;HINO TRUCK 1 - 5 TON DTR130 HD;DC8491CU;2018;Hijau;W04DTRR60659;MJEC1JG43J5170783;K
61;MF;HINO DUTRO WU342R-HKMTJD3/130HD;BH8447MV;2017;Hijau;W04DTRR51292;MJEC1JG43H5160801;K
62;MF;TOYOTA-KIJANG-INNOVA G 2.0 A/T;B1424NRH;2017;Silver Metalik;1TRA357463;MHFJW8EM0H2338595;H
63;MF;MITSUBISHI-XPANDER-ULTIMATE Limited A/T;D1678YCO;2023;Putih Mutiara;4A91KBL8729;MK2NCLTATPJ002772;B
64;MF;MITSUBISHI-COLT-DIESEL FE 74 HDV 3.9 MT;BM9634PU;2015;Kuning;4D34TL46043;MHMFE74P5FK146487;B
65;MF;TOYOTA-FORTUNER-2.5 G 4X2 A/T DIESEL;T1260ZY;2013;Putih;2KDU416156;MHFZR69G8D3078969;H
66;MF;HONDA-HR-V-NEW HRV 1.5 E A/T;DD1760QF;2018;Putih Orchid Mutiara;L15Z61163012;MHRRU1850JJ701153;H
67;MF;MITSUBISHI-PAJERO-SPORT 2.5 E EXCEED A/T;A1875RO;2014;Hitam Mika;4D56UCFJ2425;MMBGYKG40ED025821;H
68;MF;HONDA BR-V BR-V 1.5 E;E1768LX;2021;Abu Baja Metalik;L15Z16431280;MHRDG1870MJ150537;K
69;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);P8943UX;2012;Kuning;4D34TH24626;MHMFE74P5CK067824;K
70;MF;MITSUBISHI COLT FE 74 HDV (4X2 M/T);BH8572EJ;2017;Kuning Kombinasi;4D34TRX5196;MHMFE74P5HK178055;K
71;MF;HINO-DUTRO-WU342R-HKMTJD3/130HD;BE8380TP;2020;Hijau Kombinasi;W04DTRR80812;MJEC1JG43L5191367;B
72;MF;TOYOTA-KIJANG-INNOVA V 2.0 M/T;BK1861FO;2017;Hitam Metalik;ITRA380282;MHFGW8EM9H1017445;H
73;MF;TOYOTA-KIJANG-INNOVA G 2.0 LUXURY A/T;B2209UKL;2018;Hitam Metalik;1TRA541044;MHFJW8EM2J2360720;H
74;MF;MITSUBISHI TRUCK > 5 TON LTRFM 517 H3;DD9999OZ;2005;Orange;GD16TDA30019;MHMFM517G5R000035;K
75;MF;TOYOTA-KIJANG-ALL NEW KIJANG INNOVA 2.0 G M/T BENSIN;BK1002PL;2018;Putih;1TRA438866;MHFJW8EM6J2348313;H
76;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);BG8501CD;2011;Kuning;4D34TG84207;MHMFE74P5BK057497;K
77;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);KH8736AB;2012;Kuning;4D34TH49705;MHMFE74P5CK069807;K
78;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);KH8930FD;2011;Kuning;4D34TG39221;MHMFE74P5BK047484;K
79;MF;MITSUBISHI TRUCK 1 - 5 TON LTRFE 74 HD (4X2 M/T);KT8248EF;2011;Kuning;4D34TG77576;MHMFE74P4BK052647;K
80;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);KH8966FL;2012;Kuning;4D34TH59073;MHMFE74P5CK072596;K
81;MF;HINO TRUCK > 5 TON DTRFM 260 JD DUMP TRUCK;L8729UP;2005;Hijau;J08CTGJ13144;MJEFM1JNP5JD13003;K
82;MF;HONDA-HR-V-HRV 1.8 RS CVT CKD;A1449BB;2017;Putih Orchid Mutiara;R18ZE1107377;MHRRU5870HJ603213;B
83;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DM8456A;2012;Merah;W04DTRJ61996;MHFC1JU43C5059754;K
84;MF;TOYOTA TRUCK 1 - 5 TON LTR130 HT M/T TC;DD9849XZ;2012;Merah;W04DTRJ49086;MHFC1JU43C5045829;K
85;MF;HINO-DUTRO-130 HD BAK BESI 4.1 MT;DP8006AM;2016;Hijau;W04DTRR42324;MJEC1JG43G5150078;H
86;MF;HINO-WU-WU 342R 4.0 MT;DB8509LB;2014;Hijau;W04DTRR14021;MJEC1JG43E5115735;H
87;MF;MITSUBISHI-COLT-FE 74 HDV (4X2 M/T);DM8824AD;2013;Kuning;4D34TJ06880;MHMFE74P5DK109038;H
88;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE SUPER HD (4X2) M/T 136 PS;DD8915XI;2014;Kuning;4D34TK52125;MHMFE75P6EK031886;K
89;MF;HINO TRUCK > 5 TON LTRFH 2 KNB;L8900US;1998;Biru Metalik;K13DB13856;FH2KNB10127;K
90;MF;MITSUBISHI TRUCK 1 - 5 TON TKIFE 74 HDV (4X2 M/T);H1817GR;2013;Kuning;4D34TJ26828;MHMFE74P5DK090199;K
91;MF;MITSUBISHI TRUCK 1 - 5 TON LTRFE 74 HDV (4X2 M/T);BH8151HV;2016;Kuning;4D34TP83189;MHMFE74P5GK161498;K
92;MF;MITSUBISHI TRUCK > 5 TON HTRFU 510 TZ;B9055UWV;2006;Biru Kuning;6D40285570;FU510TZ510052;K
93;MF;HINO FG FG 210 JK;DK8269BV;2005;Hijau;J08CFJ12394;MJEFG1JKP5JB11461;K
94;MF;HINO FB 2WGLZ-EN;DK9028FA;2011;Hitam Rangka;W04DTNJ83177;MJEFB2WGLBJE13177;K
95;MF;TOYOTA-RUSH-S GR SPORT 1.5 AT;H1844GF;2022;Hitam Metalik;2NRG848265;MHKE8FB3JNK071623;H
96;MF;TOYOTA TRUCK 1 - 5 TON LTR130 HT M/T TC;KT8714MI;2010;Merah;W04DTRJ18256;MHFC1JU43A5010289;K
97;MF;MITSUBISHI TRUCK 1 - 5 TON LTRFE 74 HD (4X2 M/T);KT8274RD;2010;Kuning;4D34TF75852;MHMFE74P5AK034320;K
98;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HD (4X2 M/T);KH8548AK;2010;Kuning;4D34TF37346;MHMFE74P5AK028380;K
99;MF;MITSUBISHI-COLT-FE 84 G BC;DK7827FB;2009;Biru;4D34TE97374;MHMFE84PB9J001398;H
100;MF;MITSUBISHI-PAJERO-SPORT GLS LIMITED 4X2 MT;S1408QH;2014;Putih Mutiara;4D56UCFP7104;MMBGNKG40EF024949;H
101;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE SUPER HD (4X2) M/T 136 PS;BE9503CH;2012;Kuning;4D34TH40096;MHMFE75P6CKO17117;K
102;MF;MITSUBISHI-XPANDER-ULTIMATE A/T;BE1107AAI;2021;Putih Mutiara;4A91KAM4819;MK2NCLTATMJ102701;B
103;MF;MITSUBISHI TRUCK 1 - 5 TON LTRFE 74 HDV (4X2 M/T);Z9482DA;2011;Kuning;4D34TG81495;MHMFE74P5BK056387;K
104;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);DM8794E;2011;Kuning;4D34TGX3627;MHMFE74P5BK060782;K
105;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DN8746AU;2012;Merah;W04DTRJ69241;MHFC1JU43C5067923;K
106;MF;MITSUBISHI TRUCK 1 - 5 TON LTRFE 74 HD (4X2 M/T);BG8108EC;2009;Kuning;4D34TE61844;MHMFE74P59K020731;K
107;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE SUPER HD (4X2) M/T 136 PS;BG8263EC;2009;Kuning;4D34TEY6943;MHMFE75P69K002450;K
108;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE SUPER HD (4X2) M/T 136 PS;BG8566EC;2010;Kuning;4D34TFY2238;MHMFE75P6AK006873;K
109;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);BG8192EC;2009;Kuning;4D34TE09945;MHMFE74P59K023455;K
110;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DN8751EY;2012;Merah;W04DTRJ66381;MHFC1JU43C5064729;K
111;MF;MITSUBISHI TRUCK 1 - 5 TON LTRFE 74 HDV (4X2 M/T);BH8255WU;2012;Kuning Kombinasi;4D34TH08499;MHMFE74P5CK082695;K
112;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DN8710MA;2013;Merah;W04DTRJ74645;MHFC1JU43D5074618;K
113;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HD (4X2 M/T);DP9417HA;2012;Kuning;4D34TH38723;MHMFE74P5CK068882;K
114;MF;MITSUBISHI TRUCK 1 - 5 TON LTRFE 74 HDV (4X2 M/T);BG8259DD;2014;Kuning;4D34TK24631;MHMFE74P5EK117803;K
115;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DN8752KY;2013;Merah;W04DTRJ83034;MHFC1JU43D5083867;K
116;MF;HINO TRUCK 1 - 5 TON DTR130 HD;DM8976A;2012;Hijau;W04DTRJ62620;MJEC1JG43C5060433;K
117;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DM9178B;2012;Merah;W04DTRJ54679;MHFC1JU43C5052080;K
118;MF;HINO TRUCK 1 - 5 TON DTR130 HD;DN8741AC;2013;Hijau;W04DTRJ80501;MJEC1JG43D5081914;K
119;MF;TOYOTA TRUCK 1 - 5 TON LTR130 HT M/T TC;DN8480VU;2013;Merah;W04DTRJ74562;MHFC1JU43D5074420;K
120;MF;MITSUBISHI COLT FE 74 HDV (4X2 M/T);KB8985AN;2014;Kuning;4D34TKY1620;MHMFE74P5EK139132;K
121;MF;ISUZU-NKR 71-NKR 71 E2 2;DK8586PW;2013;Putih;B048332;MHCNKR71HDJ048332;H
122;MF;ISUZU-NKR 71-NKR 71 E2 2;DK8294FD;2013;Putih;B044436;MHCNK71LYDJ044436;H
123;MF;MITSUBISHI-PAJERO-NEW PAJERO SPORT EXCEED 4X2 A/T;B404RAA;2015;Putih Mutiara;4D56UCFX0558;MMBGRKG40EF043145;H
124;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DD8997XD;2012;Merah;W04DTRJ56308;MHFC1JU43C5053700;K
125;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);DA1532TP;2011;Kuning;4D34TG57170;MHMFE74P5BK050485;K
126;MF;HINO TRUCK 1 - 5 TON LTR130 HD;DN8451GX;2012;Hijau Kombinasi;W04DTRJ57470;MJEC1JG43C5054708;K
127;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);DM8467A;2009;Kuning;4D34TE46193;MHMFE74P59K018753;K
128;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DM8867C;2010;Merah;W04DTRJ14912;MHFC1JU43A5006135;K
129;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DM9157B;2012;Merah;W04DTRJ57884;MHFC1JU43C5055127;K
130;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DM9181B;2010;Merah;W04DTRJ14562;MHFC1JU43A5005675;K
131;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);DD8150LY;2013;Kuning;4D34TJ53237;MHMFE74P5DK098280;K
132;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 S (4X2) M/T;KT8733ED;2010;Kuning;4D34TF10422;MHMFE74P4AK034466;K
133;MF;MITSUBISHI TRUCK 1 - 5 TON LTRFE 74 HDV (4X2 M/T);BE9208GI;2011;Kuning Kombinasi;4D34TG22087;MHMFE74P5BK044168;K
134;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DD8187LY;2014;Merah;W04DTRR09632;MHFC1JU43E5110700;K
135;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);KT8687LG;2013;Kuning;4D34TJ12331;MHMFE74P5DK087984;K
136;MF;MITSUBISHI TRUCK 1 - 5 TON LTRFE SUPER HD (4X2) M/T 136 PS;KB8989SZ;2013;Kuning;4D34TJ30429;MHMFE75P6DK024660;K
137;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE SUPER HD (4X2) M/T 136 PS;B9680BYT;2011;Kuning;4D34TG38263;MHMFE75P6BK008790;K
138;MF;HINO TRUCK 1 - 5 TON DTR130 HD;DD8573MP;2015;Hijau;W04DTRR20157;MJEC1JG43F5124591;K
139;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DD9722XR;2013;Merah;W04DTRJ92382;MHFC1JU43D5091875;K
140;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);B9456KDA;2011;Kuning;4D34TG43335;MHMFE74P5BK049781;K
141;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HDV (4X2 M/T);KT8848CJ;2012;Kuning;4D34TH57299;MHMFE74P5CK071721;K
142;MF;HINO TRUCK 1 - 5 TON DTR130 HD;DD8040YC;2015;Hijau;W04DTRR26558;MJEC1JG43F5131182;K
143;MF;MITSUBISHI-TRITON-TRITON HDX DOUBLE CABIN M/T;DA8151HD;2018;Putih Solid;4D56UAR5235;MMBJNKL30JH023169;B
144;MF;TOYOTA TRUCK 1 - 5 TON DTRNEW DYNA JU 43;DD8460LZ;2010;Merah;W04DTRJ14759;MHFC1JU43A5005957;K
145;MF;MITSUBISHI TRUCK 1 - 5 TON LTRFE 74 HD (4X2 M/T);BE9356L;2011;Kuning Kombinasi;4D34TG29919;MHMFE75P6BK007890;K
146;MF;HINO TRUCK 1 - 5 TON LTR130 HD;DB8441FY;2008;Hijau;W04DTNJ16318;MJEC1JG4484008495;K
147;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DA9514LC;2011;Merah;W04DTRJ40748;MHFC1JU43B5036857;K
