No;Code;Jenis ken;NoPolisi;Thn Kendaraan;Warna;NoMesin;NoRangka;KD
;SMS;DAIHATSU XENIA DH247;B2512OW;2004;;;;
;SMS;DAIHATSU FEROZA 012;B2515QE;1998;;;;
;SMS;ISUZU PANTHER IS265;B2521JK;2004;;;;
;SMS;DAIHATSU XENIA DH251-1;B2521LN;2006;;;;
;SMS;TOYOTA AVANZA TY294;B2522IG;2004;;;;
;SMS;"HONDA ALL NEW CRV 4X2 2,0 AT";B2522KBA;2008;;;;
;SMS;TOYOTA CAMRY TY177-1;B2525RF;2000;;;;
;SMS;TIMOR TM 002;B2529IG;2000;;;;
;SMS;"DAIHATSU SIGRA R DELUXE 1,2 MT";B2529TIR;2020;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI E 1,3 MT";B2530SFA;2014;;;;
;SMS;SUZUKI CARRY SZ122;B2530XC;2004;;;;
;SMS;"TOYOTA ALL NEW RUSH G 1,5 AT";B2533KKF;2018;;;;
;SMS;MITSUBISHI GALANT MS122;B2533NY;1995;;;;
;SMS;"TOYOTA NEW AVANZA VVTI G 1,3 MT";B2538PW;2008;;;;
;SMS;DAIHATSU XENIA DH255;B2540JO;2007;;;;
;SMS;"TOYOTA CALYA G 1,2 MT";B2541TKW;2016;;;;
;SMS;"DAIHATSU GREAT NEW XENIA R 1,3 MT";B2543SIJ;2019;;;;
;SMS;TOYOTA KIJANG TY394;B2544YN;2002;;;;
;SMS;ISUZU PANTHER IS268;B2547PC;1996;;;;
;SMS;HONDA JAZZ IDSI005;B254ES;2006;;;;
;SMS;DAIHATSU FEROZA 017;B2550XS;1996;;;;
;SMS;"HONDA BRIO RS 1,2 AT";B2552BYS;2019;;;;
;SMS;"HONDA CIVIC FERIO 1,6 AT";B2557JL;1999;;;;
;SMS;TOYOTA KIJANG KF40;B2558DO;1994;;;;
;SMS;TOYOTA KIJANG KF71;B2558IQ;2000;;;;
;SMS;DAIHATSU FEROZA 005;B2558QZ;1995;;;;
;SMS;MITSUBISHI LANCER MS124;B2558UH;1997;;;;
;SMS;SUZUKI BALENO SZ120;B2558ZU;1997;;;;
;SMS;TOYOTA AVANZA 13GVVTI;B2559ZJ;2007;;;;
;SMS;SUZUKI CARRY SZ275;B2560IX;2004;;;;
;SMS;SUZUKI CARRY SZ218;B2561OV;2004;;;;
;SMS;TOYOTA AVANZA TY291;B2562JD;2006;;;;
;SMS;"TOYOTA NEW RUSH G 1,5 MT";B2564SFM;2015;;;;
;SMS;"TOYOTA GRAND NEW AVANZA G 1,3 MT";B2568SOZ;2017;;;;
;SMS;"HONDA JAZZ IDSI 1,5 AT";B256YPH;2004;;;;
;SMS;TOYOTA CAMRY TY146;B2570HB;2001;;;;
;SMS;DAIHATSU FEROZA 005;B2575SE;1994;;;;
;SMS;TOYOTA KIJANG TY435;B2576NE;1996;;;;
;SMS;"TOYOTA GRAND NEW AVANZA G 1,3 MT";B2578BKQ;2016;;;;
;SMS;"SUZUKI CARRY FUTURA 1,5 DRV MT";B2580BY;2002;;;;
;SMS;"MITSUBISHI XPANDER CROSS 1,5 AT";B2581KZR;2021;;;;
;SMS;SUZUKI BALENO SZ123-1;B2584CR;2004;;;;
;SMS;DAIHATSU TAFT FEROZA 2 WD;B2587DJ;1996;;;;
;SMS;HONDA ACCORD CIELO22MT;B2592QE;1998;;;;
;SMS;HYUNDAI ACCENT HY102;B2594Y;2000;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X 1,3 MT";B2596BKV;2016;;;;
;SMS;"TOYOTA CALYA G 1,2 MT";B2597PFT;2019;;;;
;SMS;TOYOTA AVANZA 13GVVTI;B2600JV;2007;;;;
;SMS;HONDA JAZZ HN210-1;B2602DT;2008;;;;
;SMS;"TOYOTA GRAND NEW INNOVA BENSIN G 2,0 MT";B2604QC;2005;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X 1,3 MT";B2607BFQ;2015;;;;
;SMS;SUZUKI APV GL;B2607CM;2006;;;;
;SMS;DAIHATSU GRANMAX D STANDAR 13MT;B2607SKU;2016;;;;
;SMS;"TOYOTA NEW AVANZA VVTI E 1,3 MT";B2608UFA;2017;;;;
;SMS;MITSUBISHI GALANT MS116;B2609ZJ;1997;;;;
;SMS;DAIHATSU XENIA DH255;B2610WB;2009;;;;
;SMS;TOYOTA COROLLA TY116;B2613YE;1995;;;;
;SMS;DAIHATSU TAFT DH514;B2616ZJ;1997;;;;
;SMS;DAIHATSU TAFT DH514;B2622ZH;1994;;;;
;SMS;"DAIHATSU NEW SIGRA FACELIFT M 1,0 MT";B2625FKE;2022;;;;
;SMS;SUZUKI CARRY SZ290;B2631QV;2003;;;;
;SMS;"DAIHATSU SIGRA R DELUXE 1,2 MT";B2635BZB;2017;;;;
;SMS;TOYOTA KIJANG ROVER15MT;B2636OQ;1995;;;;
;SMS;SUZUKI KATANA SZ510;B2637QL;2002;;;;
;SMS;TOYOTA AVANZA 13G;B2639JV;2005;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X DELUXE 1,3 MT";B2639TKC;2016;;;;
;SMS;DAIHATSU ZEBRA DH224;B2644DI;2004;;;;
;SMS;"DAIHATSU LUXIO X 1,5 MT";B2646BFU;2015;;;;
;SMS;"SUZUKI BALENO DX 1,5 M/T";B2648OX;2000;;;;
;SMS;"HONDA BRIO SATYA E 1,2 MT";B2652KFP;2017;;;;
;SMS;HONDA CRV HN516;B2656CC;2003;;;;
;SMS;"TOYOTA GRAND NEW AVANZA E 1,3 MT";B2656FMD;2016;;;;
;SMS;DAIHATSU XENIA LISPORTYVVTI-1;B2660NI;2007;;;;
;SMS;TOYOTA KIJANG TY476;B2663JH;1994;;;;
;SMS;"TOYOTA GRAND NEW AVANZA G 1,3 MT";B2663TKB;2016;;;;
;SMS;"SUZUKI CARRY PV 1,0 MT";B2665IR;2004;;;;
;SMS;CHEVROLET CAPTIVA AT-1;B2665TF;2008;;;;
;SMS;"TOYOTA GRAND NEW AVANZA G 1,3 MT";B2667SOM;2017;;;;
;SMS;"DAIHATSU GRANMAX D PS SD 1,5 MT";B2667SZY;2018;;;;
;SMS;SUZUKI CARRY SZ227;B2677OD;2004;;;;
;SMS;ISUZU PANTHER IS222;B2679DV;1997;;;;
;SMS;TOYOTA KIJANG TY475;B2679KC;2001;;;;
;SMS;TOYOTA STARLET TY133;B2679LO;1995;;;;
;SMS;SUZUKI KATANA SZ515;B2680EH;1994;;;;
;SMS;NISSAN TERRANO NS502;B2680RF;1997;;;;
;SMS;"MITSUBISHI XPANDER GLS 1,5 MT";B2684UOB;2019;;;;
;SMS;DAIHATSU TAFT FEROZA 2 WD;B2689EB;1995;;;;
;SMS;HONDA ACCORD HN122;B268PM;1994;;;;
;SMS;"TOYOTA YARIS S 1,5 AT";B2690HH;2009;;;;
;SMS;TOYOTA KIJANG TY470;B2690LM;1997;;;;
;SMS;"DAIHATSU ALL NEW TERIOS R 1,5 AT";B2691KOQ;2019;;;;
;SMS;BMW SERIES 3 BMW200;B2694EY;1998;;;;
;SMS;DAIHATSU TAFT FEROZA 2 WD;B2694RJ;1993;;;;
;SMS;"HONDA MOBILIO E 1,5 MT";B2694SFC;2014;;;;
;SMS;"HONDA NEW CIVIC VTI S 1,7 AT";B2694SL;2003;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI G 1,3 MT";B2697FVD;2011;;;;
;SMS;DAIHATSU XENIA F600 RV;B2698GC;2008;;;;
;SMS;SUZUKI ST SZ001;B2698IY;2001;;;;
;SMS;"DAIHATSU SIGRA X 1,2 MT";B2700SYW;2019;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X 1,3 MT";B2703TOU;2017;;;;
;SMS;TOYOTA IST TY101;B2708XN;2004;;;;
;SMS;"DAIHATSU ALL NEW XENIA D VVTI 1,0 MT";B2709TFJ;2015;;;;
;SMS;MITSUBISHI OUTLANDER GLX;B2709ZG;2013;;;;
;SMS;MITSUBISHI GALANT MS125-1;B2710SS;1999;;;;
;SMS;"MITSUBISHI KUDA DIESEL GLS 2,5 MT";B2712YS;2000;;;;
;SMS;"NISSAN GRAND LIVINA XV 1,5 AT";B2719WY;2008;;;;
;SMS;"TOYOTA CALYA G 1,2 MT";B2729TKM;2016;;;;
;SMS;"TOYOTA CALYA G 1,2 MT";B2730BZD;2017;;;;
;SMS;"TOYOTA CALYA G 1,2 MT";B2731BZG;2017;;;;
;SMS;MITSUBISHI KUDA MS235;B2731NJ;2004;;;;
;SMS;"SUZUKI NEW ERTIGA GL 1,4 MT";B2735TOF;2017;;;;
;SMS;TOYOTA KIJANG TY505;B2736IH;1996;;;;
;SMS;"DAIHATSU NEW SIGRA FACELIFT M 1,0 MT";B2736UOT;2020;;;;
;SMS;SUZUKI CARRY SZ283;B2740GQ;2005;;;;
;SMS;MITSUBISHI KUDA MS250;B2746CE;2002;;;;
;SMS;DAIHATSU XENIA DH246;B2748JY;2007;;;;
;SMS;SUZUKI KATANA GX410;B2749PZ;1993;;;;
;SMS;TOYOTA AVANZA TY294;B2753FG;2004;;;;
;SMS;MITSUBISHI LANCER MS124;B2753IS;1996;;;;
;SMS;DAIHATSU FEROZA 003;B2753NV;1995;;;;
;SMS;"TOYOTA INNOVA BENSIN V 2,0 AT";B2756HJ;2005;;;;
;SMS;"TOYOTA NEW KIJANG LGX DIESEL 2,5 D MT";B2767JF;2000;;;;
;SMS;SUZUKI CARRY SZ228;B2768CO;2005;;;;
;SMS;"TOYOTA AGYA G TRD 1,0 MT";B2770BFQ;2015;;;;
;SMS;DAIHATSU TAFT FEROZA 2 WD;B2772UP;1994;;;;
;SMS;HONDA CITY HN151;B2773CZ;2008;;;;
;SMS;"TOYOTA GRAND NEW AVANZA E 1,3 MT";B2774SOB;2016;;;;
;SMS;TOYOTA SOLUNA TY167;B2775GB;2001;;;;
;SMS;"TOYOTA NEW CAMRY G 2,4 AT";B2775TN;2004;;;;
;SMS;TOYOTA AVANZA 13G;B2778MI;2004;;;;
;SMS;"TOYOTA YARIS S 1,5 AT";B277RRR;2008;;;;
;SMS;DAIHATSU ZEBRA DH250;B2780MB;1996;;;;
;SMS;"MITSUBISHI KUDA DIESEL GLS 2,5 MT";B2782JO;2000;;;;
;SMS;DAIHATSU TAFT FEROZA 2 WD;B2783DO;1994;;;;
;SMS;"DAIHATSU TERIOS TX ADVENTURE 1,5 AT";B2786FMR;2014;;;;
;SMS;SUZUKI CARRY SZ227;B2794IQ;2004;;;;
;SMS;DAIHATSU FEROZA 005;B2796JT;1995;;;;
;SMS;"TOYOTA GRAND NEW AVANZA G 1,3 AT";B2798PKL;2019;;;;
;SMS;TOYOTA KIJANG TY491;B279JZ;2000;;;;
;SMS;TOYOTA KIJANG TY535;B27KV;2005;;;;
;SMS;SUZUKI KATANA SZ505;B2802NO;1997;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X 1,3 MT";B2804KKL;2018;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI G 1,3 MT";B2805BFS;2015;;;;
;SMS;"DAIHATSU AYLA X 1,0 AT";B2806STH;2013;;;;
;SMS;"SUZUKI NEW ERTIGA GL 1,4 MT";B2809BOG;2017;;;;
;SMS;HONDA ACCORD HN123;B2811DP;1995;;;;
;SMS;TOYOTA LIMO TY601-1;B2814HY;2005;;;;
;SMS;SUZUKI ESCUDO SZ509;B2814PY;2000;;;;
;SMS;"SUZUKI CARRY FUTURA 1,5 DRV MT";B2815AY;2001;;;;
;SMS;"SUZUKI ERTIGA GL 1,4 MT";B2815BOJ;2017;;;;
;SMS;"HONDA MOBILIO FACELIFT E 1,5 CVT AT";B2815BOV;2017;;;;
;SMS;HONDA JAZZ VTEC004;B2816JF;2006;;;;
;SMS;TOYOTA AVANZA 15SMT;B2817BF;2008;;;;
;SMS;"DAIHATSU AYLA X 1,0 MT";B2819FVB;2014;;;;
;SMS;"TOYOTA NEW INNOVA BENSIN G 2,0 AT";B2828VC;2010;;;;
;SMS;"NISSAN SERENA HIGH WAY STAR 2,0 AT";B2828XT;2004;;;;
;SMS;"HONDA NEW CITY IDSI 1,5 MT";B2828YM;2006;;;;
;SMS;"DATSUN GO PLUS PANCA T 1,2 MT";B2834BFQ;2015;;;;
;SMS;SUZUKI CARRY SZ280;B2835JZ;2006;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X 1,3 MT";B2837BOO;2017;;;;
;SMS;SUZUKI BALENO SZ120-1;B2837KJ;1997;;;;
;SMS;"SUZUKI CARRY EXTRA 1,0 MT";B2843CH;2004;;;;
;SMS;TOYOTA VIOS TY174;B2846BF;2008;;;;
;SMS;TOYOTA AVANZA 13GVVTI;B2848KA;2009;;;;
;SMS;"FORD FIESTA TREND 1,4 AT";B284RNY;2012;;;;
;SMS;"DAIHATSU TARUNA CL 1,6 MT";B2850YO;1999;;;;
;SMS;DAIHATSU XENIA DH251;B2852JA;2007;;;;
;SMS;"DAIHATSU AYLA M 1,0 MT";B2852PFM;2018;;;;
;SMS;HONDA JAZZ HN201-1;B2858OK;2007;;;;
;SMS;"DAIHATSU ALL NEW XENIA R FAMILY VVTI 1,3 MT";B285BGS;2014;;;;
;SMS;"TOYOTA GRAND NEW AVANZA G 1,3 MT";B2862UKE;2018;;;;
;SMS;HONDA GRAND NEW CRV PRESTIGE;B2864FBD;2013;;;;
;SMS;SUZUKI CARRY SZ275;B2865KY;1994;;;;
;SMS;"MITSUBISHI PAJERO SPORT EXCEED 4X2 2,5 AT";B286CLR;2010;;;;
;SMS;"TOYOTA CALYA G 1,2 MT";B2870BZO;2018;;;;
;SMS;HONDA JAZZ GD315MT-1;B2874CZ;2007;;;;
;SMS;"HONDA JAZZ IDSI 1,5 AT";B2877NC;2007;;;;
;SMS;"DAIHATSU LUXIO D 1,5 MT";B2878TIY;2016;;;;
;SMS;TOYOTA AVANZA 13GVVTI;B2881RA;2008;;;;
;SMS;TOYOTA KIJANG TY548;B2883GV;1995;;;;
;SMS;"TOYOTA GRAND NEW AVANZA G 1,5 MT";B2887BYM;2018;;;;
;SMS;TIMOR TM 003;B2887TH;1997;;;;
;SMS;DAIHATSU FEROZA 003;B2889HU;1995;;;;
;SMS;"TOYOTA GRAND NEW AVANZA G 1,3 MT";B2890SKI;2016;;;;
;SMS;"NISSAN GRAND LIVINA XV 1,5 AT";B2890TGY;2010;;;;
;SMS;"TOYOTA CALYA E 1,2 MT";B2891BOK;2017;;;;
;SMS;"TOYOTA ALL NEW AVANZA VVTI G 1,3 MT";B2891KVC;2014;;;;
;SMS;"DAIHATSU AYLA X 1,2 MT";B2891KVH;2017;;;;
;SMS;"TOYOTA AGYA G 1,0 AT";B2891SFG;2015;;;;
;SMS;"TOYOTA CALYA G 1,2 MT";B2893BZC;2017;;;;
;SMS;SUZUKI SIDEKICK SS002;B2895UO;1996;;;;
;SMS;HONDA CRV HN510;B2896JL;2003;;;;
;SMS;ISUZU PANTHER IS231;B2900CG;1996;;;;
;SMS;DAIHATSU XENIA DH251;B2901TC;2005;;;;
;SMS;TOYOTA KIJANG KF40;B2901TI;1995;;;;
;SMS;"SUZUKI APV GX 1,5 MT";B2902RI;2007;;;;
;SMS;"SUZUKI SWIFT ST 1,5 MT";B2905HS;2008;;;;
;SMS;"TOYOTA NEW CALYA FACELIFT E 1,2 MT";B2908BRD;2019;;;;
;SMS;SUZUKI APV GL;B2909OZ;2005;;;;
;SMS;"TOYOTA CALYA G 1,2 MT";B2911BZL;2018;;;;
;SMS;"HONDA HRV 1,8 PRESTIGE AT";B2912KBL;2016;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X DELUXE 1,3 MT";B2912SKY;2016;;;;
;SMS;"TOYOTA ALL NEW AVANZA VELOZ VVTI 1,5 AT";B2913NBB;2014;;;;
;SMS;TIMOR TM 003;B2914EB;1997;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X 1,3 MT";B2915SFZ;2015;;;;
;SMS;KIA TIMOR TM104;B2919HC;2000;;;;
;SMS;"TOYOTA ALL NEW INNOVA BENSIN G 2,0 MT";B2922PKH;2019;;;;
;SMS;HONDA GRAND NEW CRV PRESTIGE;B2923TBD;2012;;;;
;SMS;DAIHATSU FEROZA 003;B2925HZ;1995;;;;
;SMS;"TOYOTA SIENTA V 1,5 MT";B2926SZI;2017;;;;
;SMS;TOYOTA VIOS TY172;B2927CE;2004;;;;
;SMS;TOYOTA KIJANG TY544;B2929MR;2002;;;;
;SMS;"MITSUBISHI KUDA DIESEL GLX 2,5 MT";B2931RD;2000;;;;
;SMS;"TOYOTA AGYA G TRD 1,0 AT";B2931TFA;2015;;;;
;SMS;"HONDA MOBILIO E 1,5 AT CVT";B2932WR;2017;;;;
;SMS;DAIHATSU XENIA DH245;B2934IL;2004;;;;
;SMS;"HONDA MOBILIO E 1,5 AT CVT";B2934KGY;2014;;;;
;SMS;DAIHATSU XENIA LI-1;B2937CH;2004;;;;
;SMS;SUZUKI CARRY SZ275;B2938CP;2004;;;;
;SMS;HYUNDAI GETZ HY213;B293PJ;2005;;;;
;SMS;"HONDA FREED 1,5 E AT";B2942FMC;2009;;;;
;SMS;"DAIHATSU AYLA D 1,0 MT";B2944KZK;2021;;;;
;SMS;TIMOR TM 003;B2947Y;1999;;;;
;SMS;HONDA JAZZ GD315MT;B2951EK;2004;;;;
;SMS;TOYOTA KIJANG TY499;B2952KQ;1996;;;;
;SMS;"SUZUKI NEW ERTIGA GL 1,4 MT";B2952TFM;2015;;;;
;SMS;"TOYOTA GRAND NEW AVANZA G 1,3 MT";B2953SKT;2016;;;;
;SMS;"SUZUKI NEW ERTIGA GL 1,4 MT";B2956TOR;2017;;;;
;SMS;SUZUKI KATANA GX410;B2960P;1994;;;;
;SMS;DAIHATSU TAFT FEROZA 2 WD;B2963AW;1994;;;;
;SMS;DAIHATSU FEROZA 005;B2964AY;1995;;;;
;SMS;"DAIHATSU XENIA XI DELUXE FAMILY VVTI 1,3 MT";B2964FVI;2010;;;;
;SMS;"HONDA BRIO S 1,2 AT";B2964SFW;2015;;;;
;SMS;TOYOTA AVANZA TY294;B2964VC;2004;;;;
;SMS;TIMOR TM 002;B2969BW;2000;;;;
;SMS;TOYOTA KIJANG TY437;B2970Y;1995;;;;
;SMS;"HONDA JAZZ VTEC 1,5 AT";B2971PI;2006;;;;
;SMS;"TOYOTA CALYA G 1,2 AT";B2972PFD;2018;;;;
;SMS;"DAIHATSU SIGRA R 1,2 MT";B2975BON;2017;;;;
;SMS;MITSUBISHI LANCER MS136;B2982SA;1996;;;;
;SMS;TOYOTA AVANZA TY294;B2987PI;2005;;;;
;SMS;DAIHATSU ESPASS HD235;B2991LZ;1996;;;;
;SMS;HONDA JAZZ GD315MT-1;B2994NU;2006;;;;
;SMS;MERCEDEZ BENZ E-CLASS ME106;B2995NV;1994;;;;
;SMS;SUZUKI BALENO SZ120;B2996JY;1997;;;;
;SMS;"DAIHATSU GREAT NEW XENIA X 1,3 MT";B2996KFV;2017;;;;
;SMS;TOYOTA COROLLA TY148-1;B299ZK;1996;;;;
;SMS;"NISSAN GRAND LIVINA XV 1,5 MT";B305REE;2013;;;;
;SMS;HONDA CITY HN144;B310SW;2005;;;;
;SMS;"DAIHATSU TERIOS TX ADVENTURE 1,5 MT";B311RHE;2013;;;;
;SMS;"HONDA ALL NEW CRV 4X2 2,4 AT";B312BHJ;2009;;;;
;SMS;"HONDA JAZZ VTEC 1,5 MT";B313IT;2006;;;;
;SMS;"HONDA NEW CIVIC VTI S 1,7 AT";B317YR;2002;;;;
;SMS;"SUZUKI SX4 CROSS OVER 1,5 AT";B321SL;2008;;;;
;SMS;MITSUBISHI KUDA MS239;B329BD;2001;;;;
;SMS;TOYOTA FORTUNER TYTFT008;B351BW;2007;;;;
;SMS;"HONDA ALL NEW CIVIC IVTEC 1,8 AT";B363RT;2007;;;;
;SMS;MITSUBISHI GALANT MS118;B388WN;2000;;;;
;SMS;PEUGEOT 406 PG131;B406US;1997;;;;
;SMS;"HONDA ALL NEW CRV 4X2 2,4 AT";B40AM;2007;;;;
;SMS;TOYOTA KIJANG TY499;B421XK;1996;;;;
;SMS;NISSAN TERRANO NS513;B444WL;2001;;;;
;SMS;"DAIHATSU SIGRA R 1,2 MT";B463TAN;2016;;;;
;SMS;"HONDA JAZZ IDSI 1,5 AT";B468SA;2005;;;;
;SMS;"DAIHATSU XENIA XI DELUXE SPORTY VVTI 1,3 MT";B47TVI;2011;;;;
;SMS;MITSUBISHI OUTLANDER PX;B483LUU;2012;;;;
;SMS;HONDA CRV 24 AT;B48QQ;2008;;;;
;SMS;TOYOTA KIJANG TY499;B490VW;1996;;;;
;SMS;"TOYOTA YARIS S 1,5 MT";B503DAR;2011;;;;
;SMS;"TOYOTA NEW INNOVA BENSIN G 2,0 MT";B511PEN;2011;;;;
;SMS;"TOYOTA NEW INNOVA BENSIN G 2,0 AT";B535ON;2008;;;;
;SMS;TOYOTA KIJANG KF42;B541AQ;1996;;;;
;SMS;TOYOTA AVANZA 13GVVTI;B5484BRI;2008;;;;
;SMS;"NISSAN GRAND LIVINA XV 1,5 AT";B56EVA;2012;;;;
;SMS;NISSAN X-TRAIL NS516-1;B59NF;2004;;;;
;SMS;"NISSAN XTRAIL XT 2,5 AT";B5HQ;2004;;;;
;SMS;HONDA JAZZ HN209;B612EKY;2011;;;;
;SMS;SUZUKI APV SG002;B666CM;2008;;;;
;SMS;NISSAN X-TRAIL NS515;B666TC;2008;;;;
;SMS;"TOYOTA NEW AVANZA VVTI S 1,5 AT";B668BCD;2011;;;;
;SMS;TOYOTA VIOS TY172;B67BM;2003;;;;
;SMS;"HONDA ALL NEW JAZZ IVTEC RS 1,5 AT";B67EVI;2010;;;;
;SMS;"TOYOTA NEW AVANZA VVTI S 1,5 MT";B703RML;2011;;;;
;SMS;SUZUKI CARRY SZ219;B7046JS;2000;;;;
;SMS;DAIHATSU XENIA DH246;B7060NI;2007;;;;
;SMS;"DAIHATSU TERIOS TX 1,5 AT";B7073PJ;2008;;;;
;SMS;DAIHATSU ZEBRA DH250;B7106UG;2005;;;;
;SMS;TOYOTA KIJANG ROVER15MT;B7109CD;1994;;;;
;SMS;SUZUKI CARRY SZ219;B7155FC;2002;;;;
;SMS;DAIHATSU ESPASS HD235;B7157XN;1996;;;;
;SMS;TOYOTA KIJANG TY475;B7160TX;2003;;;;
;SMS;"TOYOTA NEW KIJANG LGX 1,8 MT";B7174CM;2004;;;;
;SMS;HONDA CRV 20 AT;B717FC;2007;;;;
;SMS;NISSAN GLIVINA 15XVAT-1;B7183JM;2008;;;;
;SMS;DAIHATSU XENIA DH257;B7196HI;2007;;;;
;SMS;MITSUBISHI KUDA MS248;B7197JS;2000;;;;
;SMS;TOYOTA KIJANG TY535;B7205JU;2008;;;;
;SMS;TOYOTA KIJANG TY478;B7210EB;1997;;;;
;SMS;DAIHATSU XENIA DH255-1;B7223MI;2007;;;;
;SMS;TOYOTA KIJANG INNOVAGMT;B7246WY;2007;;;;
;SMS;DAIHATSU GRAND MAX;B7247AY;2008;;;;
;SMS;DAIHATSU XENIA DH255-1;B7301WI;2008;;;;
;SMS;"DAIHATSU XENIA XI DELUXE SPORTY VVTI 1,3 MT";B7311UZ;2007;;;;
;SMS;SUZUKI CARRY SZ275;B7323YP;2000;;;;
;SMS;DAIHATSU ESPASS DH1;B7346BB;1996;;;;
;SMS;MITSUBISHI COLT T120SS;B7361JN;1996;;;;
;SMS;SUZUKI CARRY SZ228;B7376JT;2002;;;;
;SMS;"TOYOTA NEW AVANZA VVTI G 1,3 MT";B7377CK;2008;;;;
;SMS;DAIHATSU XENIA F600 RV;B7428CD;2008;;;;
;SMS;ISUZU PANTHER IS225;B7438SI;1998;;;;
;SMS;MITSUBISHI COLT L300 MINIBUS;B7447YA;2001;;;;
;SMS;SUZUKI CARRY SZ218;B7481CD;2002;;;;
;SMS;HONDA JAZZ GD315MT-1;B7536AC;2006;;;;
;SMS;OPEL BLAZER OP302;B7538CJ;2000;;;;
;SMS;TOYOTA AVANZA 13G;B7564UU;2008;;;;
;SMS;ISUZU ELF NHR 55 MICROBUS;B7580IZ;2010;;;;
;SMS;SUZUKI CARRY SZ250;B7598FC;1997;;;;
;SMS;SUZUKI CARRY SZ286;B7598JR;1997;;;;
;SMS;TOYOTA KIJANG TY474;B7607AY;2003;;;;
;SMS;TOYOTA KIJANG KF40S;B7633AY;1994;;;;
;SMS;MITSUBISHI KUDA MS239;B7640BN;1999;;;;
;SMS;KIA CARNIVAL AT-1;B7655CD;2002;;;;
;SMS;TOYOTA KIJANG TY535;B7665PJ;2008;;;;
;SMS;"MITSUBISHI KUDA DIESEL GRANDIA 2,5 MT";B7668YP;2000;;;;
;SMS;TOYOTA AVANZA 13GVVTI;B7683GI;2007;;;;
;SMS;DAIHATSU XENIA DH251;B7684WY;2007;;;;
;SMS;"TOYOTA NEW KIJANG LGX 1,8 MT";B7706YP;2000;;;;
;SMS;DAIHATSU XENIA DH255;B7709EY;2007;;;;
;SMS;"TOYOTA AVANZA E 1,3 MT";B7731IJ;2004;;;;
;SMS;ISUZU PANTHER IS237;B7732IM;1998;;;;
;SMS;"TOYOTA RUSH S 1,5 MT";B7736FI;2007;;;;
;SMS;DAIHATSU ESPASS DH1;B7744PL;1997;;;;
;SMS;"MITSUBISHI KUDA DIESEL GLS 2,5 MT";B7757GI;2000;;;;
;SMS;SUZUKI CARRY SZ233;B7759G;1999;;;;
;SMS;ISUZU PANTHER IS258;B7787EA;1997;;;;
;SMS;MITSUBISHI LANCER MS135;B778AN;1997;;;;
;SMS;TOYOTA AVANZA 13GVVTI;B77XL;2006;;;;
;SMS;TOYOTA AVANZA 13GVVTI;B7804BI;2007;;;;
;SMS;DAIHATSU NEWXENIA VVTIDELUXEFAMILYXI13;B7810CJ;2008;;;;
;SMS;TOYOTA AVANZA 13G;B7816CM;2005;;;;
;SMS;ISUZU PANTHER IS231;B7825PN;1992;;;;
;SMS;SUZUKI CARRY SZ286;B7840BN;1996;;;;
;SMS;ISUZU PANTHER IS251;B7840CT;2001;;;;
;SMS;CHEVROLET BLAZER OP500;B7842AN;1999;;;;
;SMS;SUZUKI CARRY SZ219;B7856CX;2001;;;;
;SMS;SUZUKI APV SG003;B7867CA;2008;;;;
;SMS;ISUZU ELF NHR 55 MICROBUS;B7872ZX;2006;;;;
;SMS;DAIHATSU TERIOS TX15MT;B7877CH;2008;;;;
;SMS;TOYOTA KIJANG TY413;B7878SW;2008;;;;
;SMS;TOYOTA KIJANG TY485;B7880AE;1998;;;;
;SMS;"HONDA HRV 1,8 PRESTIGE AT";B788PAI;2016;;;;
;SMS;"HONDA NEW JAZZ IVTEC S 1,5 MT";B789HDI;2011;;;;
;SMS;HONDA JAZZ HN212;B789QF;2007;;;;
;SMS;KIA PICANTO KI303;B7908JG;2007;;;;
;SMS;DAIHATSU TAFT FEROZA 2 WD;B7909AY;1995;;;;
;SMS;DAIHATSU NEWXENIA VVTIDELUXEXI13;B7951JA;2008;;;;
;SMS;HONDA JAZZ GD315MT-1;B7957GI;2007;;;;
;SMS;SUZUKI APV SG003;B7959UX;2008;;;;
;SMS;KIA K2700 DIESEL27-1;B7989BO;2006;;;;
;SMS;TOYOTA STARLET TY132;B79FZ;1994;;;;
;SMS;MITSUBISHI GALANT 20SOHC;B7UGO;1995;;;;
;SMS;HONDA CITY HN150;B8004HT;2003;;;;
;SMS;ISUZU PANTHER IS241;B8005RU;2002;;;;
;SMS;SUZUKI AERIO DX15MT-1;B8006CS;2006;;;;
;SMS;TOYOTA KIJANG TY468;B8007XN;1996;;;;
;SMS;TOYOTA AVANZA TY294;B8011PU;2006;;;;
;SMS;ISUZU PANTHER IS260;B8011RW;2000;;;;
;SMS;DAIHATSU FEROZA 001;B8014MW;1994;;;;
